,company,count
0,上海,3894
1,北京,3765
2,大众,2855
3,宝马,2062
4,特斯拉,1860
5,东风,1818
6,长安,1794
7,一汽,1787
8,比亚迪,1754
9,丰田,1646
10,奔驰,1569
11,理念,1448
12,现代,1424
13,奥迪,1384
14,日产,1298
15,蔚来,1274
16,福特,1259
17,长城,1255
18,奇瑞,1018
19,本田,960
20,北汽新能源,835
21,江淮,788
22,吉利汽车,770
23,沃尔沃,737
24,雷诺,701
25,小鹏汽车,591
26,路虎,555
27,捷豹,538
28,荣威,531
29,保时捷,525
30,哈弗,487
31,起亚,451
32,中华,446
33,福田,434
34,三菱,434
35,威马汽车,404
36,DS,398
37,标致,396
38,江铃,391
39,领克,381
40,合创,374
41,雷克萨斯,372
42,菲亚特,348
43,马自达,345
44,广汽新能源,338
45,凯迪拉克,336
46,别克,335
47,克莱斯勒,330
48,雪铁龙,326
49,宝骏,323
50,WEY,314
51,欧拉,310
52,雪佛兰,302
53,广汽集团,301
54,红旗,293
55,众泰,292
56,北京汽车,280
57,金龙,279
58,海马,277
59,斯柯达,260
60,名爵,259
61,谷歌,250
62,宝沃,236
63,东南,218
64,广汽传祺,207
65,英菲尼迪,201
66,爱驰,199
67,前途,199
68,林肯,194
69,MINI,189
70,Apollo,186
71,大发,176
72,拜腾,167
73,车和家,165
74,斯巴鲁,162
75,铃木,160
76,宇通客车,156
77,smart,151
78,Jeep,144
79,宾利,142
80,捷达,141
81,观致,139
82,玛莎拉蒂,131
83,兰博基尼,125
84,启辰,118
85,奔腾,117
86,零跑汽车,115
87,力帆汽车,112
88,云度,112
89,捷途,109
90,华泰,108
91,东风风神,107
92,法拉利,107
93,劳斯莱斯,104
94,欧宝,104
95,天际汽车,103
96,西雅特,98
97,长安欧尚,92
98,知豆,90
99,LITE,89
100,电咖,88
101,萨博,85
102,星途,82
103,腾势,81
104,中兴,80
105,新特汽车,78
106,华人运通,77
107,金杯,77
108,博郡,75
109,五十铃,72
110,金旅,70
111,奇点汽车,70
112,讴歌,69
113,宝腾,69
114,开瑞,66
115,黄海,62
116,依维柯,62
117,理想汽车,62
118,海格,61
119,大乘汽车,61
120,东风小康,59
121,塔塔,58
122,路特斯,57
123,野马汽车,56
124,摩根,55
125,五菱汽车,55
126,东风风行,53
127,江铃集团新能源,51
128,东风风光,50
129,汉腾汽车,50
130,沃克斯豪尔,50
131,绿驰,48
132,阿尔法罗密欧,48
133,陆风,48
134,猎豹汽车,46
135,安凯客车,45
136,FaradayFuture,45
137,GMC,45
138,ATS,44
139,道奇,42
140,布加迪,40
141,银隆新能源,40
142,双龙,40
143,Micro,39
144,迈巴赫,37
145,迈凯伦,34
146,雷丁,33
147,华利,33
148,凯翼,33
149,九龙,32
150,国机智骏,30
151,拉达,29
152,科尼赛克,28
153,庆铃汽车,28
154,新宝骏,27
155,格罗夫,27
156,领途汽车,27
157,哪吒汽车,26
158,开沃汽车,25
159,御捷,24
160,游侠,24
161,华普,24
162,卡威,23
163,如虎,23
164,上汽MAXUS,21
165,北汽昌河,21
166,国金汽车,21
167,几何汽车,20
168,红星汽车,20
169,斯太尔,20
170,陆地方舟,18
171,清源汽车,18
172,思铭,18
173,GYON,17
174,SSC,17
175,北汽幻速,17
176,赛麟,17
177,比速,16
178,北汽威旺,16
179,新凯,16
180,驭胜,16
181,之诺,16
182,BAC,16
183,纳智捷,15
184,成功汽车,15
185,福迪,14
186,恒天,14
187,Karma,13
188,双环,13
189,东风风度,12
190,Gumpert,12
191,Rimac,11
192,莲花汽车,11
193,君马汽车,11
194,宾尼法利纳,11
195,蓝旗亚,10
196,雷诺三星,10
197,巴博斯,10
198,Fisker,10
199,Italdesign,10
200,华骐,10
201,拉共达,10
202,长安轻型车,10
203,华颂,9
204,阿斯顿马丁,9
205,迈迈,8
206,ABT,8
207,华泰新能源,8
208,SWM斯威汽车,8
209,全球鹰,8
210,昶洧,7
211,哈飞,7
212,Datsun,7
213,Mole,7
214,汉龙汽车,7
215,WMotors,7
216,欧联,6
217,瑞驰新能源,6
218,Rinspeed,5
219,北汽制造,5
220,Mahindra,5
221,悍马,5
222,Icona,5
223,高合HiPhi,5
224,GFGStyle,4
225,DMC,4
226,MAGNA,4
227,敏安汽车,4
228,HispanoSuiza,4
229,Lucid,4
230,RIVIAN,3
231,华凯,3
232,威麟,3
233,ALPINA,3
234,骐铃汽车,3
235,NEVS国能汽车,3
236,Polestar极星,3
237,野马新能源,3
238,SRM鑫源,2
239,Hennessey,2
240,Aria,2
241,爱康尼克,2
242,世爵,2
243,卡尔森,2
244,云雀汽车,2
245,GAZ,2
246,LEVC,2
247,长江EV,2
248,霍顿,1
249,Ginetta,1
250,Puritalia,1
251,一汽凌河,1
252,KTM,1
253,Share2Drive,1
254,Dianch,1
255,Aurus,1
256,Canoo,1
257,正道汽车,1
258,SonoMotors,1
259,永源,1
260,GTA,1
261,Mazzanti,0
262,北汽道达,0
263,nanoFLOWCELL,0
264,思晧,0
265,弗那萨利,0
266,捷尼赛思,0
267,钧天,0
268,Noble,0
269,Corbellati,0
270,Drako,0
271,领志,0
272,TOROIDION,0
273,PiëchAutomotive,0
274,AEV ROBOTICS,0
275,Inferno,0
276,LOCALMOTORS,0
277,广汽吉奥,0
278,威兹曼,0
279,TVR,0
280,裕路,0
281,Arash,0
282,乔治·巴顿,0
283,AC Sohnitzer,0
284,LeSEE,0
285,罗夫哈特,0
286,东风瑞奈特,0
287,VandaElectric,0
288,欧朗,0
289,保斐利,0
290,FMAuto,0
291,朗世,0
292,SPIRRA,0
293,Dacio,0
294,ARCFOX北汽新能源,0
295,DeTomaso,0
296,FOXAutomotive,0
297,泰克鲁斯·腾风,0
298,Tramontana,0
299,泰卡特,0
300,帕加尼,0
301,福气启腾,0
302,YAMAHA,0
303,佳跃,0
304,佩奇奥,0
305,VLFAutomotive,0
306,Caterham,0
307,长安跨越,0
308,开利,0
309,Elemental,0
310,Zenvo,0
311,Agile Automotive,0
312,GLM,0
313,Conquest,0
314,NeuronEV,0
315,首望,0
316,瑞麟,0
317,Vinfast,0
318,Rezvani,0
319,RENOVO,0
320,潍柴英致,0
321,Curpa,0
322,Lorinser,0
323,Jannarelly,0
324,Aspark,0
325,光冈,0
326,比达文汽车,0
327,刺猬汽车,0
328,Radical,0
329,潍柴汽车,0
330,BollingerMotors,0
331,睿大制造,0
332,SERES赛力斯,0
333,Donkervoort,0
334,Scion,0
335,凯佰赫,0
336,SINCARS,0
337,北京清行,0
